frame,vector
20,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
21,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
22,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
23,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
24,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
25,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
26,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
27,"[[0.2837206721305847, 0.6271712183952332, -0.06859477609395981], [0.3018500506877899, 0.49867600202560425, -0.052935898303985596], [0.27758339047431946, 0.4712725877761841, -0.054124101996421814], [0.2492436319589615, 0.48597198724746704, -0.06078791245818138], [0.2175666093826294, 0.526741087436676, -0.06075441092252731]]"
28,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
29,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
30,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
31,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
